steps,timestamp,x_pos,y_pos,z_pos,x_vel,y_vel
0,203.572667,2.1567807,-0.1911056,-0.065811075,0.00068640057,0.00147509
1,203.592843,2.1567879,-0.19113094,-0.06577009,0.0007912175,0.0017540536
2,203.60333,2.1567893,-0.19114481,-0.06574851,0.0009840719,0.0021982421
3,203.612742,2.1567907,-0.19115648,-0.06572636,0.00080592034,0.0016945222
4,203.62295999999998,2.156794,-0.19117194,-0.06570512,0.0012946549,0.001790232
5,203.63281899999998,2.1567996,-0.19118007,-0.06568286,0.0010512779,0.0023873346
6,203.642841,2.1568031,-0.19119105,-0.06566252,0.0010643558,0.0013254959
7,203.653495,2.1568089,-0.19119304,-0.065650456,0.0014473723,0.0023667475
8,203.662892,2.156815,-0.19119015,-0.06563764,0.0011364677,0.001729319
9,203.672956,2.1568189,-0.19119416,-0.06562679,0.0011259441,0.0016167325
10,203.682964,2.1568227,-0.1911912,-0.065613195,0.0009105467,0.0019766374
11,203.69315,2.1568267,-0.19119072,-0.065599084,0.0010757992,0.0014172535
12,203.70314199999999,2.1568313,-0.19118717,-0.06558494,0.0011795154,0.0022283227
13,203.713664,2.1568348,-0.19118798,-0.065569244,0.0013143206,0.0018316985
14,203.723164,2.1568394,-0.19118635,-0.06555593,0.0013075293,0.002483521
15,203.733117,2.1568406,-0.19118312,-0.06554292,0.00066939765,0.0017690841
16,203.743159,2.1568463,-0.19118161,-0.06553195,0.001770864,0.0025902197
17,203.75341799999998,2.1568477,-0.19117875,-0.06551698,-0.000102125305,0.00044861605
18,203.763289,2.1568513,-0.19119573,-0.06550607,0.002200708,0.0010385999
19,203.773373,2.1568604,-0.19117667,-0.065489955,0.0005671541,0.0046614767
20,203.78330799999998,2.1568604,-0.19117033,-0.06548076,0.0011250279,2.9467992e-06
21,203.793637,2.1568668,-0.1911611,-0.06547027,0.0009831169,0.004961877
22,203.80343,2.1568668,-0.19114156,-0.06545237,0.00093372783,0.00086094096
23,203.813437,2.1568742,-0.19114073,-0.06544326,0.0013979423,0.0027483066
24,203.823622,2.156874,-0.19111836,-0.06543197,0.00032259352,0.0026601132
25,203.834128,2.156869,-0.19112548,-0.06542361,0.0011079131,0.00178927
26,203.84354499999998,2.1568694,-0.19111782,-0.06540947,0.0016931073,0.0042636646
27,203.85447,2.1568675,-0.1911153,-0.06539404,0.00047571922,0.0017618297
28,203.863556,2.156855,-0.19112417,-0.06538087,0.00056610844,0.0033437004
29,203.873659,2.1568499,-0.19112295,-0.06536678,0.0008881641,0.0024981082
30,203.884289,2.15684,-0.19113064,-0.06534905,0.0006042657,0.0026628075
31,203.893892,2.156827,-0.19113915,-0.06532703,0.00035009082,0.0020647033
32,203.90367899999998,2.1568139,-0.19114502,-0.0653007,0.0003517373,0.0027612036
33,203.91437,2.1567996,-0.19115539,-0.06527036,0.00030968306,0.0021176008
34,203.92378499999998,2.156788,-0.1911622,-0.06523579,0.0006993629,0.0028062756
35,203.933856,2.1567767,-0.19116692,-0.06519451,0.00032097657,0.0023586147
36,203.94383399999998,2.1567647,-0.19117424,-0.06514705,0.000192152,0.0020577249
37,203.954085,2.1567447,-0.19118287,-0.06509113,-0.0009788856,0.0017977857
38,203.963926,2.1567254,-0.19119146,-0.06502647,0.000500228,0.0021184802
39,203.97396799999999,2.156718,-0.19119678,-0.06495,0.00042792346,0.0022522672
40,203.98454099999998,2.1567044,-0.19118866,-0.06486868,-0.00014863926,0.0027613335
41,203.99417499999998,2.1566923,-0.19118193,-0.064780466,-0.00038626316,0.0016974771
42,204.003942,2.1566732,-0.19117334,-0.06467886,-0.0003901999,0.0031233989
43,204.013991,2.1566634,-0.19116093,-0.06456301,9.914291e-05,0.0018963454
44,204.02467299999998,2.1566477,-0.19114405,-0.064440295,-0.00063531275,0.0031133634
45,204.03402,2.1566334,-0.19112039,-0.0643073,-0.0006631254,0.0022637425
46,204.044042,2.1566153,-0.19109721,-0.0641622,-0.000218289,0.0034559835
47,204.05510199999998,2.1566017,-0.19108215,-0.06400137,-0.0011540756,0.0019327602
48,204.06410499999998,2.156584,-0.19106333,-0.06382268,-1.4559495e-05,0.0036062517
49,204.07423899999998,2.156567,-0.19104864,-0.06362207,-0.0014685928,0.0025530378
50,204.08416799999998,2.1565456,-0.19102822,-0.063394554,-0.00086088484,0.0026368513
51,204.094989,2.1565247,-0.19102085,-0.06314475,-0.0014285085,0.0032226474
52,204.104241,2.156506,-0.19100626,-0.06286994,-0.0007899581,0.002268658
53,204.114264,2.1564858,-0.19099475,-0.062566124,-0.0010477168,0.00384415
54,204.124429,2.1564658,-0.19097601,-0.06223818,-0.0014693958,0.0024303386
55,204.134337,2.1564415,-0.19096152,-0.061889052,-0.0012830753,0.0038621277
56,204.144352,2.1564212,-0.19094326,-0.061516855,-0.0019419233,0.002231345
57,204.154555,2.1563954,-0.19092718,-0.06111714,-0.0014227551,0.003220212
58,204.16442899999998,2.1563709,-0.19090989,-0.060689036,-0.002289884,0.0029198944
59,204.174467,2.156344,-0.19088876,-0.060229875,-0.0017753129,0.003159018
60,204.184482,2.156317,-0.19087021,-0.059741337,-0.0019011223,0.0034694143
61,204.19466799999998,2.156291,-0.19084655,-0.05922234,-0.0020689904,0.0028572618
62,204.204543,2.1562595,-0.19082291,-0.058673836,-0.0022384727,0.0039149397
63,204.214572,2.156232,-0.1907985,-0.058095153,-0.0026357542,0.003167235
64,204.22527,2.1562002,-0.19078735,-0.05751949,-0.0020140072,0.0039197654
65,204.234635,2.1561692,-0.19077758,-0.056910392,-0.0029581357,0.0035620462
66,204.244679,2.1561353,-0.1907624,-0.056269884,-0.0023538615,0.00349537
67,204.254867,2.1561003,-0.19074959,-0.055599313,-0.0034701037,0.004223608
68,204.26472199999998,2.1560667,-0.19073021,-0.054898098,-0.0024680614,0.0034768297
69,204.27477499999998,2.1560302,-0.19071235,-0.054164827,-0.003080515,0.0049419235
70,204.284789,2.1559947,-0.19069241,-0.053399816,-0.0033216788,0.0032913391
71,204.294897,2.1559548,-0.19067208,-0.052599125,-0.0030670012,0.0050384267
72,204.304849,2.1559193,-0.19065109,-0.051764954,-0.003324385,0.0038361868
73,204.314874,2.1558802,-0.1906261,-0.050901044,-0.002681509,0.004581401
74,204.32492,2.155844,-0.19060402,-0.05000255,-0.0037728164,0.004164633
75,204.33493299999998,2.1558058,-0.19057265,-0.049072567,-0.0031362127,0.0044163396
76,204.344977,2.1557667,-0.19054855,-0.048103,-0.003685246,0.0048171617
77,204.35518299999998,2.1557295,-0.19051678,-0.04709517,-0.0030966257,0.004276537
78,204.365661,2.1556957,-0.19050851,-0.04620552,-0.003277305,0.005422248
79,204.375046,2.1556633,-0.19049512,-0.045283347,-0.003295713,0.0047104373
80,204.385075,2.1556292,-0.19048147,-0.044327717,-0.0030823064,0.0051515223
81,204.395295,2.1555972,-0.19046696,-0.043337572,-0.0035220606,0.0046351072
82,204.405149,2.1555622,-0.19045222,-0.04231636,-0.0033086757,0.00479504
83,204.41514999999998,2.155527,-0.19043773,-0.041266806,-0.0040271804,0.004781826
84,204.425262,2.155491,-0.19041999,-0.040186383,-0.0035242513,0.0046289084
85,204.436106,2.1554673,-0.1903948,-0.039250556,-0.0032551936,0.00556589
86,204.445234,2.1554475,-0.19036482,-0.03829136,-0.0038108658,0.0047130594
87,204.456174,2.155424,-0.19034946,-0.037400696,-0.0032049175,0.0048596766
88,204.465296,2.1554008,-0.1903328,-0.036477193,-0.0035672549,0.0062016468
89,204.47533299999998,2.1553793,-0.19031583,-0.03551868,-0.004082072,0.0046977843
90,204.486245,2.155363,-0.19028726,-0.034622256,-0.003187245,0.0050600306
91,204.495394,2.155344,-0.19025941,-0.03369176,-0.0032495402,0.0055235554
92,204.506036,2.155328,-0.1902364,-0.032792408,-0.0037890759,0.0064699934
93,204.51545399999998,2.155312,-0.1902159,-0.03185822,-0.0037547431,0.0058121127
94,204.52562799999998,2.1552958,-0.19019516,-0.030885138,-0.0038936026,0.0048551545
95,204.535665,2.1552808,-0.19016877,-0.029876156,-0.003414364,0.005311203
96,204.54616299999998,2.1552658,-0.19015129,-0.02891498,-0.0033212753,0.0058297412
97,204.555739,2.155249,-0.19013296,-0.027909929,-0.0037580528,0.0067515015
98,204.56561499999998,2.155232,-0.19011301,-0.026864778,-0.003794987,0.0064283726
99,204.57563199999998,2.155212,-0.19009393,-0.025774747,-0.0041518826,0.0061554536
